"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"Inj1",25.0473515126475,NA,NA,24.0484872563165,NA,NA,25.7321928327889,NA,NA,23.1984566979944,NA,NA,24.0904797923527,NA,NA,22.7398596661978,NA,NA,NA,24.0207395430802,NA,24.4949700433614,NA,NA,23.4693468044639,NA,NA,22.6109859260444,NA,NA,21.7215413575007,NA,NA,24.5009434933161,NA,NA,22.7912792504311,NA,NA,23.6082488675448,NA,NA,23.2759638444781,NA,NA,25.0777181671756,NA,NA,23.6283427671059,NA,NA,24.4420289854401,NA,NA,25.1990615705667,NA,NA,24.2026860144056
"Inj2",24.5182416202425,NA,NA,23.7506572768524,NA,NA,25.6363870999993,NA,NA,24.1422644646828,NA,NA,24.3938039878623,NA,NA,22.5647120248416,NA,NA,NA,23.8108977903973,NA,23.7931602578706,NA,NA,23.4028607150689,NA,NA,23.1428348888565,NA,NA,21.1283203540921,NA,NA,24.1628762159125,NA,NA,23.0149573815514,NA,NA,24.0982583756814,NA,NA,23.8929792660577,NA,NA,26.211628270974,NA,NA,24.3188700781575,NA,NA,25.3300446466976,NA,NA,25.3818400028722,NA,NA,24.5732738148928
"Inj3",24.3971380109876,NA,NA,23.4462081380694,NA,NA,25.561002727486,NA,NA,23.8073000559003,NA,NA,24.3620485008765,NA,NA,20.1607029930733,NA,NA,NA,23.1853568078149,NA,23.9420292396238,NA,NA,23.9400472538448,NA,NA,23.2335786281875,NA,NA,21.0015075811674,NA,NA,23.4664934165355,NA,NA,23.6936788448807,NA,NA,23.7408358066602,NA,NA,23.1188139775444,NA,NA,26.5141567271017,NA,NA,18.5346463049898,NA,NA,25.0062724473643,NA,NA,25.7754029985028,NA,NA,24.4895540581045
"Inj4",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7658353552729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8125885056556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3800472037286,NA,NA,24.4297245237708,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inj5",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7025436074838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9968099759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0272205010101,NA,NA,24.1188022229288,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inj6",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.490589573548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3846683923091,NA,NA,24.7188991832694,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inj1",24.5447846749314,NA,NA,24.0027133173099,NA,NA,22.6046404379392,NA,NA,21.4041259831276,NA,NA,23.1298181422702,NA,NA,24.144497192731,NA,NA,23.3911860382043,NA,NA,NA,NA,NA,23.6201330934748,NA,NA,NA,23.8711487474138,NA,22.4863877560234,NA,NA,23.8295684078059,NA,NA,22.7798719633503,NA,NA,24.5770378227002,NA,NA,23.0346450041112,NA,NA,23.6541910334704,NA,NA,20.9743817624182,NA,NA,26.170132600045,NA,NA,24.9208963063939,NA,NA,24.4635754948927
"Inj2",24.103107765645,NA,NA,24.0139993770975,NA,NA,22.6101208752742,NA,NA,22.2381462079283,NA,NA,23.5567337005927,NA,NA,23.969703583671,NA,NA,22.681518286583,NA,NA,NA,NA,NA,23.7884571326679,NA,NA,NA,23.499609867182,NA,22.148982841507,NA,NA,23.2894996974853,NA,NA,23.5188918787467,NA,NA,24.5221062996067,NA,NA,23.8932278771482,NA,NA,24.451323941134,NA,NA,21.5215626851375,NA,NA,25.5251608362682,NA,NA,25.85069600661,NA,NA,24.3127276621902
"Inj3",23.4723474134331,NA,NA,24.2918965238409,NA,NA,22.7067421647812,NA,NA,23.0154195518982,NA,NA,24.0873300227923,NA,NA,24.784996653927,NA,NA,21.5698699247747,NA,NA,NA,NA,NA,23.7649245343092,NA,NA,NA,23.4404359177862,NA,21.579231320414,NA,NA,23.7021937340028,NA,NA,22.4992810426781,NA,NA,24.183361666074,NA,NA,22.864209969751,NA,NA,24.1116109206579,NA,NA,21.2627864219447,NA,NA,25.4695403882429,NA,NA,25.6943510240556,NA,NA,24.2570873419077
"Inj4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1528311656968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4856769732996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inj5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0592956165514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8773301610011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inj6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5284533507291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6276600253681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inj1",23.659197905554,NA,24.3061468645538,NA,NA,NA,23.2907471203532,NA,NA,24.1010833580798,NA,NA,21.5987744781572,NA,NA,NA,NA,NA,NA,NA,NA,25.1059237220351,NA,NA,23.3461589676479,NA,NA,24.6404906332167,NA,NA,23.2978650617602,NA,NA,22.3036310217602,NA,NA,24.4606013205078,NA,NA,23.6207635146984,NA,NA,22.9033867422643,NA,NA,25.2467958597789,NA,NA,22.1112380218755,NA,NA,25.3005739713193,NA,NA,23.8703572536471,NA,NA,22.9920677017079
"Inj2",22.7383757760174,NA,24.6689433741093,NA,NA,NA,23.3162418736243,NA,NA,24.1139348254439,NA,NA,24.5131402600585,NA,NA,NA,NA,NA,NA,NA,NA,26.0244519072306,NA,NA,23.319237589845,NA,NA,24.3718687680968,NA,NA,23.5381942509782,NA,NA,22.9579723020061,NA,NA,24.3501760149681,NA,NA,23.7951328615351,NA,NA,22.970023599991,NA,NA,24.9537945452059,NA,NA,21.9123651232864,NA,NA,24.3757384150523,NA,NA,24.2416726497154,NA,NA,23.5627920975396
"Inj3",23.4711048881433,NA,24.6156429922481,NA,NA,NA,23.8467125217855,NA,NA,24.2995900731575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4180183308388,NA,NA,23.6729123855271,NA,NA,24.1435935380296,NA,NA,23.5691154732586,NA,NA,22.7036208401813,NA,NA,24.3916352051524,NA,NA,24.6706495189442,NA,NA,21.8354908926573,NA,NA,24.7917660611749,NA,NA,21.4350087807794,NA,NA,24.3909237731174,NA,NA,23.5674990546515,NA,NA,23.6845911319209
"Inj4",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0824667601119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0040933057408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7865894444949
"Inj5",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6871836569713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1747049112768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3715248342385
"Inj6",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7795601541106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2831876424646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2462444834983
