"","Sample.ID","Year","System","Age","ALA.mean","VAL.mean","NOR.mean","GLU.mean","PHE.mean","ALA.sd","VAL.sd","NOR.sd","GLU.sd","PHE.sd"
"1","01_E_2","2001","Egegik","2",23.4434185606053,16.1348238636352,14.5500284090909,23.1676818181801,5.39524242423935,0.485001008160113,0.099604133889701,1.81005858066519,0.0656280853269983,0.710890465306798
"2","01_E_3","2001","Egegik","3",23.5611928030302,16.6876976325756,14.771044886364,21.9796559659078,7.2324924242414,0.239662880736287,0.76157369022882,0.36291151962606,0.434005762097686,0.509622025272995
"3","01_E_3_R","2001","Egegik","3",22.2983477272724,17.7857856060605,14.474407575757,22.5133371212121,2.88875833333345,0.252055009476582,0.687933921554505,0.239827998997745,0.279206682828433,0.668568652210163
"4","01_K_2","2001","Kvichak","2",21.9963610013172,13.6333840579707,13.3995210803688,21.0970204216073,6.35491897233156,0.366000484505756,0.980990304474631,2.30502612567768,0.513273557307209,0.969320825057634
"5","01_K_3","2001","Kvichak","3",23.9444992424237,15.1787371212112,15.0746553030303,22.2803939393925,6.28936969696728,0.392574358281193,0.631147452789229,1.81471045059862,0.494237042234718,0.422905683693658
"6","01_W_2","2001","Wood","2",21.9142012763868,18.2147687776142,14.2687790868932,21.9694486990673,3.13708664702959,0.450381751646649,0.792476724473309,0.548268833424782,0.453132388207697,0.799023331921761
"7","01_W_3","2001","Wood","3",22.840913043478,14.0793405797098,11.4491956521739,21.9353405797101,6.47999275362264,0.198978988654367,1.12926064657726,2.3621063689063,0.289453508466968,0.756098454627122
"8","04_E_2","2004","Egegik","2",23.2191525568184,19.4115505681819,13.3068102272738,22.9585020833323,5.04538276515056,0.150009193610582,1.95206419660065,0.422758893246916,0.512530432569526,0.883772283225118
"9","04_E_2_R","2004","Egegik","2",22.8713333333333,18.5136287878788,11.6078276515148,23.0236893939401,3.76182007575819,0.287690082090664,1.70935018163586,2.21648127292093,0.103047244179315,0.405016596489871
"10","04_E_3","2004","Egegik","3",22.2694624505925,15.7860144927533,14.6195428194993,20.9539841897231,2.40971442687666,0.300158004473024,1.62604480768634,0.645591763145656,0.247254941627597,0.429109007862528
"11","04_K_2","2004","Kvichak","2",24.426306060606,16.796790151515,15.3879893939399,23.2084568181805,8.71451515151412,0.2632471333576,0.782262785980865,1.46138470931353,0.23113823490808,0.209901047049224
"12","04_K_3","2004","Kvichak","3",23.5227931488798,19.2227318840576,13.1392154150197,24.0979743083,3.579843873517,0.0728305393690457,1.41346945925823,0.475726349167724,0.24263483728023,1.23142724571758
"13","04_W_2","2004","Wood","2",22.9252747159083,18.8210555871199,13.0665582386364,22.5447310606041,3.38889696969401,0.297054345316901,1.68180260639525,0.824426921369231,0.249182192944252,0.303206378905885
"14","04_W_3","2004","Wood","3",23.3633702651516,16.4150925189393,18.4967127840907,22.9270437499997,7.01444365530307,0.397071172785353,2.45794887033635,0.20417782791316,0.457830968441479,0.74194034707995
"15","07_E_2","2007","Egegik","2",22.1427538825758,17.1741471590908,16.0812155303036,20.0573218749994,6.31811950757559,0.367464865004026,0.090555139732297,0.667752733337963,0.0162148423759428,0.59593228839099
"16","07_E_3","2007","Egegik","3",21.9447511045655,23.4187550319097,13.6870780559659,22.1491703485517,2.34677049582694,0.0843751271338914,1.65873880838224,0.175179105088324,0.301516292503141,0.238571816775657
"17","07_W_2","2007","Wood","2",21.5692862689395,22.4653713068185,15.8226317234853,19.8380604166667,3.32614412878764,0.251329493564692,3.45285755518296,0.674840798483138,0.38756028232379,0.514291948515507
"18","10_E_2","2010","Egegik","2",22.4903418560603,22.6406059659087,15.5120311553035,21.733722916666,4.1048972537876,0.256703488542658,3.5449205135902,0.719932568847953,0.311818082377202,0.317718359397104
"19","10_E_3","2010","Egegik","3",22.1677765151513,15.3910435606057,14.8581534090914,23.0764583333326,2.21999053030285,0.0572238607093122,0.728016865973697,0.399465011071606,0.309325603527086,0.305462417138899
"20","10_K_2","2010","Kvichak","2",21.9410662878789,22.4814962121213,13.5185984848494,21.4997083333325,3.28450378787805,0.169177262202941,3.1946308036734,0.261209556100415,0.350319123171745,0.932519521344195
"21","10_W_2","2010","Wood","2",22.3769015151514,17.2893579545453,16.8796931818188,23.5535246212106,3.69671590908955,0.300892386445708,0.292918741713873,0.633785657996366,0.717060883155407,0.334927555152544
"22","10_W_2_R","2010","Wood","2",22.9855000000001,21.6566890151516,13.0152466856056,23.5477132575766,4.44724782197046,0.482972825322501,0.507472226337656,0.3443648059444,0.533350456578812,0.774193942785579
"23","13_E_2","2013","Egegik","2",20.1877636363629,21.9046198863632,13.5952185606063,19.3619712121193,1.57908361742237,0.539331657418836,1.9747284297684,0.896100341526887,0.425305811082831,0.554908588375911
"24","13_E_3","2013","Egegik","3",21.7785757575752,19.0993674242419,15.2190984848487,21.4746363636347,3.35174810605892,0.634036683072989,0.312569324326306,0.635051861191503,0.343051983296765,1.13339876925389
"25","13_K_2","2013","Kvichak","2",20.9369306818181,15.0271298295453,16.5696744318184,19.4765881628777,5.92579545454456,0.523337925876165,0.570718496559779,2.24403840398877,0.360704297148255,0.603180135042575
"26","13_K_3","2013","Kvichak","3",20.2356327433628,20.8755589970502,13.6511703539823,20.5236873156342,1.13677949852512,0.075525142601745,0.626178599355347,0.167089433386174,0.222316693568631,0.468536962507971
"27","13_W_2","2013","Wood","2",22.1205892045454,15.1228486742422,14.5127400568181,22.675004403409,5.2783676136356,0.655671977004012,0.325121279571564,0.115450921709422,0.468171181288618,0.686546847992603
"28","13_W_2_a","2013","Wood","2",22.3986761363638,21.9907784090913,12.3917367424252,22.6622916666665,2.87464772727252,0.104864219740124,1.51204713066803,0.0248979371540252,0.281285893149514,0.265649541599043
"29","13_W_3","2013","Wood","3",22.5081945075756,16.1789464015151,14.0239730113635,22.6700086174236,5.88993446969579,0.0623297206798035,0.308873880849662,1.2507594138547,0.203767511418787,0.536183841473535
"30","13_W_3_a","2013","Wood","3",21.4905962121213,16.1680219696973,14.3637719696976,22.8740166666666,2.87040757575738,0.485828384770924,1.18436462715609,0.685865622731517,0.504329316949646,1.14076044852607
"31","16_E_2","2016","Egegik","2",23.2929860795458,25.5220957386367,10.8745436553043,21.5185812499998,3.18357784090889,0.870839256597768,0.418705904826659,0.355780673151677,0.553768878099512,0.264365502145258
"32","16_K_2","2016","Kvichak","2",23.9200067234854,17.1943527462124,14.9321413825764,23.8781142992425,3.76283418560594,0.291243486665674,0.722858386117809,0.530181472112098,0.442907273825505,0.34845251244553
"33","16_W_2","2016","Wood","2",23.6651114583334,16.1703478219699,15.9840576704549,23.6206793560604,3.81553664772627,0.253479516830204,0.436210842813885,0.82553894598017,0.40943630800093,1.39217919100205
"34","16_W_3","2016","Wood","3",23.3644489583334,16.4640974431821,12.8817800189396,23.0396801136363,5.01115823863567,0.152128912694051,0.503435705731192,1.35750746618329,0.0805472273867504,0.161215659224466
"35","22_E_2","2022","Egegik","2",21.0425208333334,19.9553693181818,13.2082935606069,22.0244280303023,2.18503219696822,0.0854617045961173,1.21650091655348,0.849123035076482,0.352116996911514,0.731607875487888
"36","22_E_2_R","2022","Egegik","2",23.1368768939387,14.4428390151509,14.3983920454548,23.2525965909075,2.3943920454536,0.150767694471199,2.31949631878128,1.40154894830027,0.420914404415588,0.60837367425091
"37","22_E_3","2022","Egegik","3",21.5204828125001,19.4711919034092,13.6895089488642,20.0555536931814,1.48411775568073,0.120148490667049,1.08574779808151,0.960967958880434,0.00771911510619339,0.831270915193242
"38","22_K_2","2022","Kvichak","2",23.5632677083335,22.7328071022726,13.2155851325768,23.079844128787,4.86614933711958,0.185631455652033,0.572481664929167,0.231793105493586,0.134849758452924,0.84059122724241
"39","22_K_3","2022","Kvichak","3",20.4956510416669,14.5580858901514,15.943205871212,21.1996203598487,4.08856903409085,0.0370132944778154,1.12244091976423,0.333194996417066,0.578499162669411,1.23214557781501
"40","22_K_3_a","2022","Kvichak","3",21.573223484848,17.9080738636364,14.6641117424243,21.5851477272725,3.22359090909088,0.0260673789601381,0.0963331757681141,0.398819746431645,0.159118173825463,0.67163873206515
"41","22_K_3_R","2022","Kvichak","3",22.741,14.5558818181818,13.5382689393936,22.973324242425,3.68880530303071,0.56021134404794,0.484082057645505,0.414137073781076,0.110260200461074,0.734358865950645
"42","22_W_2","2022","Wood","2",22.7512864583339,17.8297061553032,13.2986054924243,22.8221459280307,4.78048285984851,0.221688688464539,0.512837276943262,0.592960277165691,0.175238409725912,0.987135668562719
"43","22_W_3","2022","Wood","3",21.3168958333338,19.3803200757577,13.6626856060606,20.6047215909095,4.05497537878788,0.185881219379828,0.959832218652559,0.930792729686519,0.597009015778909,0.550355351651953
"44","22_W_3_a","2022","Wood","3",21.5693414772724,22.5814680871212,12.8909124053032,20.3076695075756,4.371328030303,0.175746719945449,2.95942337824459,0.244529289997301,0.162538414640866,0.317032123720481
"45","65_E_2","1965","Egegik","2",20.9648272727274,14.541231060606,14.5498401515156,21.8676431818182,2.51646136363629,0.128299461493325,1.26390206817319,1.94763657978047,0.554059014211295,0.329725691948926
"46","65_K_2","1965","Kvichak","2",23.3395984848486,16.4539223484847,13.6540662878793,23.0158920454544,4.24901325757564,0.301510147828746,0.749682820530388,0.308324546801149,0.576460879656356,0.714581598164188
"47","65_W_2","1965","Wood","2",21.7826431818172,17.064951988635,17.2376313446954,23.6024480113629,4.28038986742394,0.489225151867761,0.293348311176029,1.18514254468595,0.325532340191565,1.80963177239558
"48","67_E_2","1967","Egegik","2",22.0474060606048,15.9838704545436,16.8477962121195,23.0493962121204,1.93562196969651,0.219993891048819,1.31249223671663,0.341863275646976,0.148266944082944,0.887770953174354
"49","67_E_3","1967","Egegik","3",22.3892219696959,13.7562387310586,18.0066779356044,23.5592279356052,3.90071297348448,0.393667731155696,0.625697014021582,0.223083314995449,0.639445069965252,0.522841694453676
"50","68_K_2","1968","Kvichak","2",23.29665151515,21.0908238636342,14.5158428030285,22.8728428030293,1.85594507575705,0.0830554760316463,0.810167168755099,0.930185700745803,0.118769578781969,0.123595240530982
"51","68_W_2","1968","Wood","2",22.5980102272729,23.3976908143939,10.4266525568188,22.5968286931816,3.34501051136345,0.354822134701293,0.709491512562715,0.0459270071512279,0.32182270322067,0.399786282180745
"52","68_W_3","1968","Wood","3",22.7888356060591,23.7421222537855,12.1456277462101,22.2703444128778,3.62985407196908,0.359049310754619,1.22025539100015,1.18637179256833,0.181630581008964,0.385080638270233
"53","71_E_2","1971","Egegik","2",22.7242575757564,19.1682537878764,13.015369696968,22.5764886363622,4.19306969697011,0.443009630242464,0.619195749194061,0.183198336926257,0.301529199043545,0.880904614561983
"54","71_E_3","1971","Egegik","3",22.7348087121201,19.2514616477248,16.6632568181801,23.1853129734832,3.86558598484878,0.3846931829231,0.165242817675584,0.465016709916151,0.135305376472549,0.336073196440468
"55","71_K_2","1971","Kvichak","2",22.4476382575743,23.3116576704521,14.2255219696954,21.4997874053016,3.25530946969716,0.123371545217406,0.177113511329662,0.157922913351879,0.0551544398203459,0.056864663513456
"56","71_K_3","1971","Kvichak","3",23.1675227272714,22.2895321969674,13.7407424242408,21.9916117424228,2.85582575757613,0.0955453560529084,0.897146110890368,0.330715836850159,0.0991510456100962,0.434131507832716
"57","74_K_2","1974","Kvichak","2",21.9290782196968,15.1998685606059,13.4555362689398,20.3875986742419,3.56475804924237,0.253764562684143,1.47252390454653,1.99204716730063,0.839228157815261,0.809467121408408
"58","74_W_2","1974","Wood","2",22.3317744318182,16.2114428030304,15.096123011364,21.970843371212,4.32324857954541,0.150422535742109,1.07711813815936,1.94294952259123,0.48032933690606,0.138215061471146
"59","74_W_2_R","1974","Wood","2",23.9937973484846,22.1825359848484,13.6686477272723,24.2591571969696,4.51043750000012,0.23261611359931,1.18842882814795,0.501329342482108,0.819920407984381,0.885953601711015
"60","80_W_2","1980","Wood","2",20.6407662878788,13.6036013257577,15.2867041666667,20.0816575284086,5.02473579545441,0.277800956260945,1.14399163687369,1.70689196267356,0.247823048253611,NA
"61","84_W_2","1984","Wood","2",22.9834132575758,16.1410369318183,13.7737208333334,21.9206523674237,7.40580525568171,0.213000844918191,0.153401584438546,0.168793134456302,0.478060765020668,0.227068258930084
"62","86_W_2","1986","Wood","2",22.7011634756995,22.9125780559646,11.5150522827702,22.7652115856651,3.4736167157581,0.20138033262345,0.47293214358949,0.609377718164506,0.384469821594606,0.1977851994646
"63","86_W_3","1986","Wood","3",21.9225,16.3557412878788,17.2582911931816,21.27160189394,6.43102945075809,0.189503957742311,1.39381775956107,1.10041580242586,0.371005795698574,0.0472835855905189
"64","89_E_2","1989","Egegik","2",24.1133613636364,17.1417053977273,13.0917559659096,22.2797236742421,5.92167187499921,0.231887941475806,0.389523213976522,2.13134671330822,0.185138743705855,0.411605877851209
"65","89_E_3","1989","Egegik","3",22.9396818181819,16.9008238636364,14.201524621213,22.6184204545449,3.547945312499,0.577675848191443,0.228939660245645,1.89859135384671,0.591600914081687,0.626684433370055
"66","89_K_2","1989","Kvichak","2",24.2562606060607,13.9964704545455,15.0353234848492,22.555498484848,7.12554166666578,0.142728742434754,4.93848327411515,1.30029854720227,0.0874263774061862,1.05422967173432
"67","89_K_2_R","1989","Kvichak","2",22.2275512310604,22.7430987689393,11.0759111742421,19.7486055871212,3.62478020833349,0.235652887303948,0.229943701791395,0.434157673640108,0.348254486083008,0.251725313274401
"68","89_W_2","1989","Wood","2",23.0465810606062,19.5399222537879,13.0667588068192,22.3558619318176,3.39401562499889,0.231114480307777,1.34418544919263,0.0757486487283432,0.249257212572345,0.720059638541578
"69","89_W_3","1989","Wood","3",23.5374621212122,16.7555492424243,14.3905833333335,23.715642045454,3.37394417613609,0.430265273279655,0.497397881146394,1.62823771214144,0.316940733835748,0.337376916795503
"70","92_E_2","1992","Egegik","2",23.7638640151515,21.4402926136364,13.8010958333336,23.2483995265145,3.02069815340889,0.26963349860918,1.57406666630479,0.213854850867381,0.272359789086332,0.795408146665339
"71","92_W_2","1992","Wood","2",23.6426118371208,16.8622334280299,13.8449482007578,21.2946849431809,6.817998200757,0.283309529916775,0.356754241787328,2.93267337820166,0.259333697792384,1.07176854138841
"72","93_K_2","1993","Kvichak","2",23.7274818181818,17.1054469696971,14.1965666666668,22.6394098484842,6.45066439393935,0.374627602078247,0.489660070411374,1.2134700489669,0.238920403006108,0.481328492889622
"73","95_E_2","1995","Egegik","2",22.9300037878785,17.7277840909089,14.8295473484846,22.2170170454536,4.0245301136349,0.727721706915869,0.335203032987796,1.10703278741279,0.141321738746994,0.860602789243562
"74","95_E_3","1995","Egegik","3",24.198065151515,17.6050196969694,15.9203143939392,23.183346164772,8.21503939393816,0.208484779231028,3.05728659477095,2.29020176111442,0.12155587422096,1.08042586849461
"75","95_K_2","1995","Kvichak","2",21.6318744318178,21.2138573863632,12.3855553977271,20.5704016098476,3.34283977272581,0.254006311341494,1.19039390874745,0.275708476298938,0.492006384918562,0.472927035383813
"76","95_W_2","1995","Wood","2",22.3341442234845,19.1914724431816,17.7165706439386,18.4780686553029,3.99640468750011,0.586244800373631,3.10025994890513,2.05912650716569,0.42861630850666,0.902266043085279
"77","95_W_3","1995","Wood","3",23.10792717803,16.6442228219696,15.6334774621205,21.2935553977272,4.53574895833345,0.35106443626247,0.224321414275685,0.806384674312999,0.241015359385097,0.846524454515657
"78","98_E_2","1998","Egegik","2",21.8010147727271,20.2107838068181,13.1156376893947,21.3039921401498,2.38556818181686,0.256709566837409,1.88016165710851,1.45979597417887,0.286360275371332,0.405797254393875
"79","98_E_3","1998","Egegik","3",23.1507889052528,15.2982790868926,14.5884715267559,22.5070741286206,5.70990709376524,0.102247579810685,1.10020511586533,3.23428676479597,0.245711490371347,0.910419995639725
"80","98_K_2","1998","Kvichak","2",22.8977237689391,14.4480853219691,13.8847523674242,22.1860568181814,6.97317575757449,0.143808792587188,0.434537012039876,0.153398423492338,0.288432086133038,0.745968326789493
"81","98_W_2","1998","Wood","2",23.862976420454,15.1291720643932,14.2594588068182,21.8720113636353,6.82404848484656,0.403349136397893,0.58778436764186,2.06858449010732,0.564558315002092,0.35662019398069
