"","years","W.phe","E.phe","K.phe","W.glu","E.glu","K.glu","W.tp","E.tp","K.tp"
"1",1965,4.77683274726721,3.40230525509688,3.54275356043851,24.3258416559459,23.8979864013242,23.0119019768522,3.28739502955789,3.4214845816186,3.27608334510109
"2",1966,4.77031986294691,3.43788510065954,3.58156752709412,24.3114453966093,23.8958596056927,23.0288415614288,3.28627840420147,3.41614369759676,3.27298499069896
"3",1967,4.7638069786266,3.4734649462222,3.62038149374974,24.2970491372727,23.8937328100611,23.0457811460054,3.28516177884506,3.41080281357491,3.26988663629684
"4",1968,4.75729409430629,3.56728685822115,3.65919546040535,24.2826528779361,23.8913633264541,23.062720730582,3.28404515348864,3.39717797000466,3.26678828189471
"5",1969,4.75130791321456,3.6611087702201,3.70312932468992,24.2965266505831,23.8889938428471,23.0790299060881,3.28685817809752,3.38355312643441,3.26287543645866
"6",1970,4.74532173212283,3.75493068221905,3.74706318897448,24.31040042323,23.8866243592401,23.0953390815941,3.2896712027064,3.36992828286417,3.25896259102261
"7",1971,4.7393355510311,3.848752594218,3.79099705325905,24.324274195877,23.8842548756331,23.1116482571002,3.29248422731528,3.35630343929392,3.25504974558656
"8",1972,4.73262553556868,3.92953432075979,3.8364518754216,24.2683505657827,23.8820377842206,23.1282429834278,3.28551346037026,3.34454723278482,3.25096191331532
"9",1973,4.72591552010627,4.01031604730158,3.88190669758415,24.2124269356885,23.8798206928082,23.1448377097553,3.27854269342524,3.33279102627572,3.24687408104408
"10",1974,4.71920550464385,4.09109777384337,3.9273615197467,24.1565033055942,23.8776036013957,23.1614324360829,3.27157192648023,3.32103481976662,3.24278624877284
"11",1975,4.71260825361799,4.17615788044048,3.97384586772487,24.0726381187199,23.8751451483717,23.1785982080883,3.26062745964616,3.30863842321973,3.23863347597216
"12",1976,4.70601100259214,4.2612179870376,4.02033021570303,23.9887729318455,23.8726866953478,23.1957639800937,3.24968299281209,3.29624202667283,3.23448070317148
"13",1977,4.69941375156628,4.34627809363472,4.06681456368119,23.9049077449711,23.8702282423238,23.2129297520991,3.23873852597802,3.28384563012594,3.23032793037081
"14",1978,4.69278104722368,4.40278258809288,4.1120976136655,23.801080930176,23.8680802530048,23.2298662067436,3.22497165480911,3.27553791287705,3.22631283188075
"15",1979,4.68614834288109,4.45928708255104,4.1573806636498,23.6972541153809,23.8659322636858,23.2468026613881,3.2112047836402,3.26723019562816,3.2222977333907
"16",1980,4.67951563853849,4.5157915770092,4.2026637136341,23.5934273005858,23.8637842743668,23.2637391160326,3.19743791247129,3.25892247837927,3.21828263490064
"17",1981,4.67275418615686,4.57229607146736,4.25021634548331,23.5833574213975,23.8616362850479,23.280047680244,3.1969692967763,3.25061476113038,3.2138571295695
"18",1982,4.66599273377523,4.62880056592552,4.29776897733252,23.5732875422092,23.8594882957289,23.2963562444554,3.19650068108131,3.24230704388149,3.20943162423837
"19",1983,4.6592312813936,4.68530506038368,4.34532160918173,23.563217663021,23.8573403064099,23.3126648086668,3.19603206538631,3.2339993266326,3.20500611890724
"20",1984,4.65246982901197,4.74180955484183,4.39397896491226,23.5531477838327,23.8551923170909,23.3294371056984,3.19556344969132,3.22569160938372,3.2004898216411
"21",1985,4.64495879651192,4.79831404929999,4.44263632064278,23.5367706947005,23.8530443277719,23.3462094027301,3.19430763430433,3.21738389213483,3.19597352437497
"22",1986,4.63744776401187,4.85481854375815,4.49129367637331,23.5203936055683,23.8508963384529,23.3629816997617,3.19305181891734,3.20907617488594,3.19145722710884
"23",1987,4.63037077580748,4.82824817265302,4.53995103210383,23.4745756663372,23.8481134313946,23.3797539967933,3.18756443208637,3.21244550407104,3.18694092984271
"24",1988,4.62329378760307,4.80167780154789,4.58860838783436,23.4287577271061,23.8453305243362,23.396526293825,3.18207704525539,3.21581483325614,3.18242463257657
"25",1989,4.61621679939867,4.77510743044276,4.63726574356488,23.382939787875,23.8425476172779,23.4132985908566,3.17658965842442,3.21918416244124,3.17790833531044
"26",1990,4.60990913597538,4.7051137110707,4.68382802251224,23.3439246083189,23.8399158659033,23.4307341061208,3.17195686577104,3.22872551768168,3.17378273138932
"27",1991,4.60360147255208,4.63511999169864,4.73039030145959,23.3049094287628,23.8372841145288,23.4481696213851,3.16732407311767,3.23826687292211,3.1696571274682
"28",1992,4.59729380912879,4.56512627232658,4.77695258040695,23.2658942492067,23.8346523631542,23.4656051366493,3.1626912804643,3.24780822816255,3.16553152354708
"29",1993,4.59015794626604,4.52760158960542,4.8235148593543,23.2411724988964,23.8318106551304,23.4830406519136,3.16020036156238,3.25272083081091,3.16140591962596
"30",1994,4.58302208340329,4.49007690688426,4.86545723817682,23.2164507485861,23.8289689471067,23.5004030193774,3.15770944266045,3.25763343345927,3.15792433161481
"31",1995,4.57588622054055,4.4525522241631,4.90739961699934,23.1917289982758,23.826127239083,23.5177653868411,3.15521852375853,3.26254603610763,3.15444274360365
"32",1996,4.56896647201846,4.40317911603958,4.95378418799056,23.2679756165382,23.8234219278493,23.536004280066,3.16699846239656,3.26915620563877,3.15045610369341
"33",1997,4.56204672349638,4.35380600791605,5.00016875898178,23.3442222348006,23.8207166166156,23.5542431732909,3.17877840103459,3.27576637516991,3.14646946378316
"34",1998,4.5551269749743,4.30443289979253,5.04655332997301,23.420468853063,23.818011305382,23.5724820665158,3.19055833967261,3.28237654470105,3.14248282387291
"35",1999,4.54736104480911,4.327732139161,5.08746771750567,23.4637478862512,23.8157493964759,23.5906999863607,3.19778850445355,3.27875598545537,3.13926802675001
"36",2000,4.53959511464393,4.35103137852948,5.12838210503833,23.5070269194394,23.8134874875699,23.6089179062057,3.20501866923449,3.2751354262097,3.1360532296271
"37",2001,4.53182918447874,4.37433061789796,5.16929649257099,23.5503059526276,23.8112255786639,23.6271358260507,3.21224883401542,3.27151486696402,3.1328384325042
"38",2002,4.52458341575608,4.35896531828472,5.20684458906538,23.6138887129232,23.8087388763102,23.645774637731,3.22228120356475,3.27333903088179,3.13016006355037
"39",2003,4.51733764703343,4.34360001867149,5.24439268555978,23.6774714732188,23.8062521739564,23.6644134494113,3.23231357311407,3.27516319479956,3.12748169459654
"40",2004,4.51009187831078,4.32823471905826,5.28194078205417,23.7410542335143,23.8037654716026,23.6830522610917,3.24234594266339,3.27698735871733,3.1248033256427
"41",2005,4.50326425306421,4.31001510460589,5.30974290649114,23.8006824436621,23.8011690921109,23.7012398798953,3.25175895050962,3.2792002815163,3.12344149764931
"42",2006,4.49643662781764,4.29179549015352,5.3375450309281,23.86031065381,23.7985727126192,23.7194274986989,3.26117195835585,3.28141320431526,3.12207966965592
"43",2007,4.48960900257107,4.27357587570115,5.36534715536507,23.9199388639578,23.7959763331276,23.7376151175025,3.27058496620209,3.28362612711422,3.12071784166252
"44",2008,4.48321528521143,4.17792411838149,5.3913242320487,24.0055342614405,23.7938475312885,23.7560697066748,3.28361458586813,3.29687300466104,3.11965233351645
"45",2009,4.4768215678518,4.08227236106182,5.41730130873233,24.0911296589231,23.7917187294494,23.7745242958472,3.29664420553418,3.31011988220787,3.11858682537038
"46",2010,4.47042785049215,3.98662060374216,5.44327838541596,24.1767250564058,23.7895899276103,23.7929788850196,3.30967382520023,3.32336675975469,3.11752131722431
"47",2011,4.4640014500845,3.88648941518693,5.47538478473115,24.1958608219352,23.7870005942765,23.8112641388065,3.31329452859076,3.3371828865566,3.11556364788603
"48",2012,4.45757504967684,3.7863582266317,5.50749118404634,24.2149965874647,23.7844112609427,23.8295493925935,3.31691523198129,3.3509990133585,3.11360597854775
"49",2013,4.45114864926919,3.68622703807648,5.53959758336153,24.2341323529942,23.7818219276089,23.8478346463804,3.32053593537181,3.3648151401604,3.11164830920948
"50",2014,4.44472145510481,3.66589877420605,5.57060746764391,24.3031498190522,23.7799807705553,23.8676926208429,3.33122214786791,3.36743371053106,3.11006871858342
"51",2015,4.43829426094043,3.64557051033562,5.60161735192629,24.3721672851103,23.7781396135018,23.8875505953053,3.341908360364,3.37005228090172,3.10848912795737
"52",2016,4.43186706677605,3.62524224646519,5.63262723620867,24.4411847511683,23.7762984564482,23.9074085697678,3.35259457286009,3.37267085127238,3.10690953733132
"53",2017,4.42566972952729,3.62164094320433,5.66894595038845,24.4845396324045,23.7741092762101,23.9261670000001,3.35961330069083,3.3728708686977,3.10442224498749
"54",2018,4.41947239227854,3.61803963994347,5.70526466456823,24.5278945136408,23.7719200959719,23.9449254302324,3.36663202852156,3.37307088612301,3.10193495264366
"55",2019,4.41327505502978,3.61443833668261,5.741583378748,24.571249394877,23.7697309157338,23.9636838604648,3.3736507563523,3.37327090354833,3.09944766029983
"56",2020,4.40669560817877,3.57066299672038,5.77933362070574,24.567989477883,23.7674946684586,23.9815180470759,3.37412094471732,3.37915462772496,3.09662668928756
"57",2021,4.40011616132775,3.52688765675815,5.81708386266347,24.5647295608891,23.7652584211834,23.999352233687,3.37459113308234,3.38503835190159,3.09380571827529
"58",2022,4.39353671447674,3.48311231679593,5.85483410462121,24.5614696438951,23.7630221739082,24.0171864202981,3.37506132144737,3.39092207607823,3.09098474726302
