"","X","Year","System","Age","Sample.ID","PHE.mean","GLU.mean","PHE.sd","GLU.sd","Trophic.Position","TP.Average.Method","TP.GAM.Method"
"1",1,2001,"Egegik",2,"01_E_2",5.3952424242404,24.4008041802094,0.710890465306798,0.0557807278868011,3.21041951217691,3.30613738391436,3.29364860917762
"2",4,2001,"Kvichak",2,"01_K_2",6.35491897233201,22.9326816282584,0.969320825057781,0.52670167981896,2.8665386198196,3.41244339356001,3.08569923921289
"3",5,2001,"Kvichak",3,"01_K_3",6.28936969696833,23.8290465944346,0.422905683693658,0.467924297696817,3.0027870959584,3.49943542802027,3.21266311544181
"4",6,2001,"Wood",2,"01_W_2",3.13708664702973,23.1666384922877,0.799023331921761,0.469932576580255,3.35546060131133,3.48187178718143,3.11883760522271
"5",7,2001,"Wood",3,"01_W_3",6.47999275362308,23.5718248550178,0.756098454627084,0.295212922896779,2.93935298886611,3.51418859411915,3.17622944130346
"6",10,2004,"Egegik",3,"04_E_3",2.40971442687726,23.1435208461452,0.429109007863171,0.160793544166032,3.45521337383399,3.42133713124834,3.13081295187633
"7",11,2004,"Kvichak",2,"04_K_2",8.71451515151441,24.4275019294603,0.209901047049231,0.213208159346897,2.74404911868922,3.37113616113456,3.31267996084447
"8",12,2004,"Kvichak",3,"04_K_3",3.57984387351744,25.6864767122542,1.23142724571728,0.237681255166266,3.64966470803637,3.32086352582382,3.49100500090027
"9",13,2004,"Wood",2,"04_W_2",3.38889696969445,23.8157810166288,0.303206378906117,0.253455948616316,3.4117399499907,3.33375886389776,3.22603393919695
"10",14,2004,"Wood",3,"04_W_3",7.01444365530275,24.4329806475567,0.741940347079948,0.392175398489418,2.98562846915778,3.48944640465473,3.31345598323773
"11",15,2007,"Egegik",2,"07_E_2",6.31811950757527,22.5696337449709,0.59593228839099,0.636658788837667,2.8203277956651,3.21420277146299,3.0695989223805
"12",16,2007,"Egegik",3,"07_E_3",2.34677049582678,24.2084575518135,0.23857181677546,0.345932787316525,3.61496983795846,3.36013374502608,3.30172694034687
"13",17,2007,"Kvichak",2,"07_K_2",6.00813707386313,23.2971250017799,3.32523090772539,0.918186191896939,2.96727874333099,3.63951340329867,3.17264300974721
"14",18,2007,"Wood",2,"07_W_2",3.32614412878767,23.4292523626934,0.514291948515501,0.409213881542651,3.36587935324444,3.44151305915598,3.19135793338935
"15",19,2010,"Egegik",2,"10_E_2",4.10489725378729,24.9974521553866,0.317718359397104,0.230635035498543,3.47769899456081,3.47909445871242,3.43565180764051
"16",20,2010,"Egegik",3,"10_E_3",2.21999053030254,25.3612008191497,0.305462417138901,0.377611477030765,3.79620542334946,3.15453271787279,3.48717428126134
"17",21,2010,"Kvichak",2,"10_K_2",3.28450378787789,24.0723752984208,0.932519521344276,0.400012241886804,3.46287131877378,3.27304926009987,3.3046210913564
"18",24,2013,"Egegik",2,"13_E_2",1.5790836174222,21.8195373086471,0.554908588375713,0.347540284005155,3.38533338402619,3.33505541609452,3.00767641501654
"19",25,2013,"Egegik",3,"13_E_3",3.35174810605876,22.8819381165533,1.13339876925406,0.3483512478057,3.28472946324285,3.34887597201354,3.15815811585311
"20",26,2013,"Kvichak",2,"13_K_2",5.925795454545,21.2529102898335,0.603180135042427,0.27372412030381,2.68939303615984,3.4467253778415,2.92741763048204
"21",27,2013,"Kvichak",3,"13_K_3",1.13677949852541,22.7382120406828,0.46853696250819,0.29560882034915,3.57810659237357,3.23983518090344,3.13780031473831
"22",32,2016,"Egegik",2,"16_E_2",3.18357784090891,24.6890787198297,0.264365502145261,0.529624849040024,3.56451853809076,3.44922137166763,3.43556384973784
"23",33,2016,"Kvichak",2,"16_K_2",3.76283418560582,25.721611274852,0.348452512445547,0.389425144185985,3.62872196731532,3.09823351773864,3.58181491985431
"24",34,2016,"Wood",2,"16_W_2",3.81553664772656,24.926115359834,1.39217919100183,0.449401627356482,3.50858055412287,3.50372077899116,3.46913844463929
"25",35,2016,"Wood",3,"16_W_3",5.01115823863612,24.2769375000172,0.161215659224321,0.0938710186850049,3.24727751577636,3.25746524288034,3.37718690642162
"26",36,2019,"Egegik",2,"19_E_2",4.67520738636386,23.893176319338,NA,0.337665576257931,3.24050551458557,3.04951587291561,3.34386164623393
"27",37,2019,"Kvichak",2,"19_K_2",5.2373931818181,25.4886477790198,0.431677801767256,0.497862671219857,3.38686325739401,3.17647974914453,3.56984910511238
"28",38,2019,"Kvichak",3,"19_K_3",4.52396695075795,25.8762084136893,0.493518861522371,0.454966208260582,3.54281040551436,3.08265423892542,3.62474437914488
"29",39,2019,"Wood",2,"19_W_2",5.4378503787877,25.4521015239806,0.207363602972021,0.294524823062848,3.35329336334177,3.14004607500617,3.56467258173572
"30",42,2022,"Egegik",3,"22_E_3",1.48411775568087,21.4704539483194,0.831270915193242,0.063537993556587,3.34933940405645,3.07937978479759,3.02170554877241
"31",43,2022,"Kvichak",2,"22_K_2",4.86614933711971,24.3444634996635,0.840591227242415,0.106839654931537,3.27738160942547,3.26124679376573,3.42878905462852
"32",46,2022,"Wood",2,"22_W_2",4.78048285984849,24.4218379624676,0.987135668562717,0.194352596261823,3.30047522699987,3.43957183382153,3.43974861026649
"33",48,1965,"Egegik",2,"65_E_2",2.51646136363635,23.2895595232382,0.329725691949016,0.486515558024577,3.46077877614757,3.17460077211821,3.3496662618384
"34",49,1965,"Kvichak",2,"65_K_2",4.24901325757563,24.0400799513365,0.71458159816432,0.538989609357058,3.32168083481032,3.26202281615899,3.45597227148405
"35",50,1965,"Wood",2,"65_W_2",4.28038986742363,24.6542437146259,1.80963177239557,0.34578436444221,3.40422859025528,2.99496107427476,3.54296430594431
"36",51,1967,"Egegik",2,"67_E_2",1.93562196969619,24.5302444103037,0.887770953174358,0.195895418999515,3.71878504824469,3.15428212676439,3.50600778394253
"37",52,1967,"Egegik",3,"67_E_3",3.90071297348401,24.758401067284,0.522841694453568,0.623067984850908,3.47276035322946,3.41544359129753,3.53832459088025
"38",53,1968,"Kvichak",2,"68_K_2",1.85594507575658,24.1028697394161,0.123595240530912,0.163799229878736,3.66953607133988,3.21156094638494,3.43578093262102
"39",54,1968,"Wood",2,"68_W_2",3.34501051136344,23.7484508904128,0.399786282180733,0.301145621211675,3.4084193171458,3.05664375958167,3.38557996250723
"40",55,1968,"Wood",3,"68_W_3",3.62985407196876,23.393526085119,0.385080638270228,0.169605150026015,3.31780056843488,3.12223844412641,3.3353073271965
"41",56,1971,"Egegik",2,"71_E_2",4.19306969696843,23.484567171921,0.880904614561982,0.313886024589259,3.25092032223124,3.15519114129616,3.31916465777917
"42",57,1971,"Egegik",3,"71_E_3",3.8655859848471,24.5837212096652,0.336073196440467,0.157359220539731,3.45299365790625,3.35591427268828,3.47485219853614
"43",58,1971,"Kvichak",2,"71_K_2",3.25530946969609,22.6405011593315,0.0568646635139229,0.0574318021707738,3.26419145745544,3.25527168285743,3.1996085653444
"44",59,1971,"Kvichak",3,"71_K_3",2.85582575757476,23.6707738326869,0.434131507832221,0.0465228078969622,3.46670652621985,3.0584561259049,3.34553953890748
"45",60,1971,"Wood",2,"71_W_2",6.68019886363742,25.6431942200914,0.300756980456463,0.0857978187448017,3.20439027711813,3.16494229168892,3.62491919718008
"46",61,1971,"Wood",3,"71_W_3",2.45285378787952,24.245311790444,0.833478525225845,0.49074244679281,3.60516402302613,3.14456543134841,3.42691885303738
"47",62,1974,"Egegik",2,"74_E_2",3.97812959280344,24.5106364713125,1.22635237114634,0.400031315196646,3.42670069100695,3.12539547165129,3.43559061355305
"48",63,1974,"Kvichak",2,"74_K_2",3.5647580492419,22.2192305809847,0.809467121408885,0.805813310821668,3.16069016030351,3.27642486885341,3.11102887271341
"49",66,1977,"Egegik",2,"77_E_2",5.10027045454546,23.0559573691079,NA,2.06076780724044,3.06171202755842,2.92754028430225,3.20103742613864
"50",67,1977,"Egegik",3,"77_E_3",1.41212433712267,23.4937208304301,0.106947208575682,0.21368076874739,3.64611848347131,2.81596178452963,3.26304358213329
"51",68,1977,"Kvichak",2,"77_K_2",4.48991657197032,23.5912939552184,0.240267840060755,0.479690586456611,3.22399113077168,3.08706650106266,3.27686413805231
"52",69,1977,"Wood",2,"77_W_2",4.79447727272721,24.2821107603638,0.596098649409101,0.166715097289026,3.27870162714399,3.01019478128069,3.37471354388027
"53",70,1977,"Wood",3,"77_W_3",1.39709564393938,22.8214659699811,0.343102325681254,0.179920873954747,3.55302695836285,3.24167010353643,3.16782334694221
"54",71,1980,"Kvichak",2,"80_K_2",3.40330681818177,24.2997324767763,1.0200883305381,0.429242580205343,3.47824726042415,3.14504075273236,3.34979717624546
"55",72,1980,"Wood",2,"80_W_2",5.02473579545455,21.8217582280376,NA,1.44117922003816,2.89759524540836,3.2068467624807,2.99880932231646
"56",73,1983,"Kvichak",2,"83_K_2",3.95623295454539,22.547524749854,NA,0.918021675764486,3.15174104749414,3.10681357244712,3.07648122675455
"57",74,1984,"Wood",2,"84_W_2",6.66236676136338,23.6723313804308,1.29764493664845,0.434587811694122,2.92775702819652,3.21364339853198,3.22818460117792
"58",75,1986,"Egegik",2,"86_E_2",7.04835511363634,25.5161313200348,1.05641675679243,0.467057946872087,3.13424592158618,2.96259436970216,3.47553749944841
"59",76,1986,"Wood",2,"86_W_2",3.47361671575809,24.0767198469519,0.197785199464708,0.369784279721943,3.43670016022575,3.09508392594112,3.27165485453582
"60",77,1986,"Wood",3,"86_W_3",6.43102945075777,22.9830045081208,0.0472835855905143,0.319875107930168,2.86288598546219,3.15905849426394,3.11673766773255
"61",78,1989,"Egegik",2,"89_E_2",5.92167187499935,23.4461029810067,0.411605877851209,0.196883390944708,3.00062763541181,3.39118651223031,3.16565341494046
"62",79,1989,"Egegik",3,"89_E_3",2.50047916666579,23.6787490230251,1.86759810171115,0.605642159739817,3.51816853489509,3.26210258163065,3.1986061121102
"63",84,1989,"Wood",3,"89_W_3",3.98950568181768,25.0958543306535,1.09254725015689,0.332995532474401,3.50798139501924,3.28081750527279,3.39932924350233
"64",85,1992,"Egegik",2,"92_E_2",3.70780331439349,24.3853176464477,1.31631210837213,0.248721400462481,3.44723999037595,3.50294212180157,3.28734059383798
"65",86,1992,"Wood",2,"92_W_2",6.81799820075684,22.9957998143628,1.07176854138794,0.336333024008925,2.80988691410849,3.55446459542241,3.09052503688545
"66",87,1992,"Wood",3,"92_W_3",3.34383787878772,23.747592144798,3.0063054311838,0.0302051607245067,3.40846377705528,3.37191140551746,3.19701120266947
"67",88,1993,"Kvichak",2,"93_K_2",6.45066439393904,23.603731510794,0.481328492889621,0.233472424287757,2.94802650380382,3.05281254011043,3.17411924866999
"68",89,1995,"Egegik",2,"95_E_2",4.76540151515116,23.4683915953323,1.42020768945117,0.148487388305959,3.16756233430328,3.203294240947,3.15196951440847
"69",90,1995,"Egegik",3,"95_E_3",8.21503939393921,24.5346591395793,1.08042586849462,0.805105053668043,2.82997446822098,2.97255375557592,3.3029989116106
"70",91,1995,"Kvichak",2,"95_K_2",3.34283977272686,22.0715339726481,0.472927035383813,0.45851057254171,3.17120314446477,3.1829364398322,2.95411432705944
"71",92,1995,"Wood",2,"95_W_2",3.99640468749991,21.2837897642534,0.902266043085287,0.384369890713523,2.96705171058831,3.45926316492382,2.84253582728681
"72",93,1995,"Wood",3,"95_W_3",4.53574895833324,23.1977890629766,0.846524454515652,0.24290102080415,3.16176205448206,3.6055142350403,3.11364054381985
"73",94,1998,"Egegik",2,"98_E_2",2.38556818181714,22.6550747213159,0.405797254393852,0.329860837325582,3.3894485183426,3.49283775982528,3.03792955495965
"74",95,1998,"Egegik",3,"98_E_3",5.70990709376508,24.2892904964414,0.910419995639782,0.254963429872093,3.15005430632809,3.40088622160761,3.26940487721538
"75",96,1998,"Kvichak",2,"98_K_2",6.97317575757463,23.6070872797647,0.745968326789493,0.282316278657735,2.87449171702409,3.34652911386268,3.17277552641132
"76",97,1998,"Wood",2,"98_W_2",6.82404848484731,24.043437708588,0.35662019398093,0.527466499516102,2.95742056993494,3.57251657274112,3.23458153615966
"77",961,2001,"Egegik",3,"01_E_3",5.06062537878747,23.3372033869509,0.589095338741449,0.35254047348166,3.10716402381918,3.62741184677363,3.14299693874441
"78",951,2022,"Kvichak",3,"22_K_3",3.67244263731086,23.9426736127443,0.870212401962987,0.24247612315638,3.38955112966479,3.56734004936446,3.37187830577311
"79",952,2022,"Wood",3,"22_W_3",4.21315170454544,22.2824944493109,0.437474401835433,0.430083317854056,3.07781058707726,3.00336730493653,3.13672544976271
"80",941,2013,"Wood",2,"13_W_2",4.45327670454554,23.2915475133704,0.829088396849691,1.72961155228121,3.18672391059842,3.41045081079264,3.21617644401417
"81",931,2013,"Wood",3,"13_W_3",4.38017102272712,24.2895205790919,0.838472144999802,0.408431528553551,3.33843478135479,3.42141036643061,3.35753240233167
"82",921,2004,"Egegik",2,"04_E_2",4.4036014204542,24.09142195911,0.644394439857601,0.351653576088481,3.30705673352065,3.35354006193722,3.26507656561072
"83",911,2010,"Wood",2,"10_W_2",4.55806330492403,25.4325732103832,1.23730139126472,0.630962639737731,3.47514304609903,3.11838720592683,3.49728368511878
"84",901,2022,"Egegik",2,"22_E_2",2.28971212121098,24.1073016155667,0.66999077486923,0.403633788805126,3.60872372441299,3.26131256910806,3.39519671977061
"85",891,1974,"Wood",2,"74_W_2",4.41684303977259,24.6844982924804,0.512084331590835,0.670962635893053,3.38918629641754,3.40266852742555,3.46021693383179
"86",881,1989,"Kvichak",2,"89_K_2",5.37516093749961,22.3190158155715,0.652977492504363,0.213948989411048,2.91839304221981,3.56457399927984,3.00600934051621
"87",871,1989,"Wood",2,"89_W_2",2.55337713068125,23.2543920826185,0.705316087002293,0.211554558043256,3.4505686900761,3.37685847593473,3.13849889675516
